Divisor (X-axis),Normalized Distance (Y-axis),Is_Local_Minima
66.5,70.61654135338357,False
66.0,70.98484848484857,False
65.5,71.49618320610688,False
65.0,72.06153846153863,False
64.5,72.8527131782944,False
64.0,73.65625,False
63.5,74.65354330708674,False
63.0,75.63492063492087,False
62.5,76.95999999999988,False
62.0,78.38709677419375,False
61.5,80.08130081300806,False
61.0,81.91803278688529,False
60.5,83.81818181818181,False
60.0,85.83333333333324,False
59.5,87.7647058823533,False
59.0,89.91525423728811,False
58.5,92.1538461538464,False
58.0,94.67241379310346,False
57.5,97.27826086956505,False
57.0,99.84210526315812,False
56.5,102.55752212389372,False
56.0,105.32142857142857,False
55.5,108.2252252252251,False
55.0,111.16363636363627,False
54.5,114.17431192660561,False
54.0,117.14814814814814,False
53.5,120.14018691588787,False
53.0,123.28301886792447,False
52.5,126.20952380952397,False
52.0,128.94230769230785,False
51.5,131.13592233009703,False
51.0,133.1372549019607,False
50.5,135.13861386138612,False
50.0,137.23999999999995,False
49.5,139.27272727272742,False
49.0,141.02040816326542,False
48.5,142.6701030927836,False
48.0,144.20833333333337,False
47.5,145.56842105263183,False
47.0,146.82978723404204,False
46.5,147.78494623655922,False
46.0,148.2608695652173,False
45.5,148.4505494505497,False
45.0,148.3555555555556,False
44.5,148.15730337078676,False
44.0,147.2954545454547,False
43.5,145.98850574712628,False
43.0,144.51162790697663,False
42.5,142.5882352941179,False
42.0,140.19047619047623,False
41.5,136.97590361445788,False
41.0,133.7317073170732,False
40.5,130.08641975308646,False
40.0,126.52499999999993,False
39.5,122.91139240506322,False
39.0,119.28205128205131,False
38.5,116.29870129870123,False
38.0,113.42105263157897,False
37.5,110.54666666666661,False
37.0,107.86486486486483,False
36.5,105.45205479452049,False
36.0,102.86111111111121,False
35.5,100.549295774648,False
35.0,98.97142857142862,False
34.5,98.6376811594202,False
34.0,98.52941176470605,True
33.5,99.2686567164178,False
33.0,101.09090909090926,False
32.5,103.7538461538464,False
32.0,106.78125,False
31.5,110.57142857142885,False
31.0,114.3870967741936,False
30.5,117.4262295081968,False
30.0,120.70000000000009,False
29.5,123.44067796610175,False
29.0,126.20689655172411,False
28.5,128.9473684210526,False
28.0,131.42857142857144,False
27.5,131.3818181818181,False
27.0,130.4074074074072,False
26.5,127.50943396226401,False
26.0,123.57692307692318,False
25.5,122.70588235294129,False
25.0,120.96000000000006,False
24.5,120.08163265306142,False
24.0,119.1250000000001,False
23.5,117.55319148936104,False
23.0,115.78260869565224,False
22.5,114.66666666666703,False
22.0,113.36363636363645,False
21.5,112.83720930232555,True
21.0,113.57142857142873,False
20.5,116.24390243902452,False
20.0,119.40000000000005,False
19.5,116.7435897435899,True
19.0,119.05263157894736,False
18.5,118.75675675675663,True
18.0,121.83333333333336,False
17.5,123.85714285714288,False
17.0,122.23529411764706,False
16.5,118.72727272727259,False
16.0,115.6875,False
15.5,113.06451612903217,True
15.0,117.1333333333334,False
14.5,121.8275862068964,False
14.0,120.57142857142865,False
13.5,115.62962962962983,True
13.0,117.07692307692315,False
12.5,121.6800000000002,False
12.0,124.66666666666656,False
11.5,115.34782608695662,True
11.0,116.3636363636362,False
10.5,122.04761904761918,False
10.0,115.90000000000013,True
9.5,119.68421052631575,False
